"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=equus"
"Access Time","Thu 2017-02-02 21:29:11 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","equus"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0472"
"Records Found","1631"
"Records Returned","1631"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"193466","occ","","","19706","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","3372"
"193467","occ","","","19707","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6195"
"193471","occ","","","19708","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1295"
"193477","occ","8521","","19709","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","3372"
"193485","occ","","","19712","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","1682"
"193505","occ","","","19714","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","1682"
"193527","occ","","","19716","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","2725"
"193529","occ","","","19717","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","1682"
"193561","occ","","","19721","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","2725"
"193576","occ","","","19725","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","2725"
"193581","occ","","","19727","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","2725"
"193613","occ","8553","","19737","Equus idahoensis","species","46277","","Equus idahoensis","species","46277","Blancan","","4.9","1.8","6294"
"193661","occ","","","19744","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1766"
"193662","occ","","","19744","Equus calobatus","species","46260","subjective synonym of","Equus francisci","species","46270","Blancan","","4.9","1.8","1766"
"193673","occ","","","19746","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","2621"
"193677","occ","","","19747","Equus (Dolichohippus) sp.","subgenus","104784","","Equus (Dolichohippus)","subgenus","45877","Blancan","","4.9","1.8","2615"
"193715","occ","8574","","19752","Equus (Dolichohippus) sp.","subgenus","104784","","Equus (Dolichohippus)","subgenus","45877","Blancan","","4.9","1.8","2615"
"193735","occ","","","19753","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","2621"
"193759","occ","","","19754","Equus (Dolichohippus) sp.","subgenus","104784","","Equus (Dolichohippus)","subgenus","45877","Blancan","","4.9","1.8","2615"
"193764","occ","","","19755","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","2615"
"193785","occ","8582","","19758","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6294"
"193794","occ","8584","","19760","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6294"
