Species	Status	min_age	max_age
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_sandrae	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_pernix	extinct	50.3	55.8
Arenahippus_pernix	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_pernix	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_pernix	extinct	50.3	55.8
Arenahippus_pernix	extinct	50.3	55.8
Arenahippus_pernix	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_pernix	extinct	50.3	55.8
Arenahippus_pernix	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_pernix	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Orohippus	extinct	50.3	55.8
Orohippus_proteros	extinct	50.3	55.8
Protorohippus_venticolum	extinct	50.3	55.8
Protorohippus_venticolum	extinct	50.3	55.8
Protorohippus_venticolum	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Protorohippus_venticolum	extinct	50.3	55.8
Protorohippus_venticolum	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Orohippus	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Orohippus	extinct	50.3	55.8
Protorohippus_venticolum	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Protorohippus_venticolum	extinct	50.3	55.8
Xenicohippus_craspedotum	extinct	50.3	55.8
Protorohippus_venticolum	extinct	50.3	55.8
Protorohippus_venticolum	extinct	50.3	55.8
Xenicohippus_craspedotum	extinct	50.3	55.8
Protorohippus_venticolum	extinct	50.3	55.8
Protorohippus_venticolum	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Xenicohippus_craspedotum	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Equidae	extinct	46.2	50.3
Xenicohippus_craspedotum	extinct	46.2	50.3
Xenicohippus_craspedotum	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Equidae	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Equidae	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Xenicohippus_craspedotum	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus_sylvaticus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Equidae	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_major	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Equidae	extinct	46.2	50.3
Equidae	extinct	46.2	50.3
Orohippus_sylvaticus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus	extinct	46.2	50.3
Orohippus_pumilus	extinct	46.2	50.3
Equidae	extinct	46.2	50.3
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Duchesnehippus_intermedius	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Orohippus_sylvaticus	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Orohippus	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Epihippus_gracilis	extinct	40.4	46.2
Duchesnehippus_intermedius	extinct	37.2	40.4
Duchesnehippus_intermedius	extinct	37.2	40.4
Haplohippus_texanus	extinct	37.2	40.4
Mesohippus_texanus	extinct	37.2	40.4
